scale,raw_bytes,disk_bytes,disk_savings_pct,mutable_ram_bytes,succinct_ram_bytes,ram_per_key_bytes,ingest_rate_sec,lookup_avg_micros,duration_ms
1000,188365,154459,18.00,72000,11907,11.91,1209.2,6.75,826
5000,954207,839028,12.07,299547,47590,9.52,2094.4,2.91,2387
10000,1903289,1691520,11.13,407446,59542,5.95,2102.3,5.65,4756
50000,9531420,8552207,10.27,2937958,476389,9.53,2241.5,7.91,22306
100000,19111886,17149033,10.27,4074517,595508,5.96,2293.0,3.29,43611
500000,95949247,86229538,10.13,29375564,4763348,9.53,2286.6,3.35,218663
1000000,192133734,172723160,10.10,40735412,5953689,5.95,2309.4,17.08,433016
2000000,385051868,346277415,10.07,77898249,11907474,5.95,2302.5,3.17,868624
3000000,578412378,520234186,10.06,83850666,11907246,3.97,2266.2,3.06,1323801
4313006,832388982,748654296,10.06,106367574,15634045,3.62,2224.8,111.93,1938609
